generation,best_overall,mean_overall,front_size,entropy,change,autocorr,diversity,mean_coupling,coupling_cv
0,0.5895424836601308,0.5172385620915033,16,0.5450980392156863,0.5607843137254902,0.28627450980392155,0.1450980392156863,1.0,1.0
1,0.6313725490196077,0.5396241830065359,13,0.9411764705882352,0.7882352941176471,0.5725490196078432,0.8862745098039216,0.0,0.6
2,0.6313725490196077,0.5547794117647059,16,0.9411764705882352,0.7882352941176471,0.5725490196078432,0.8862745098039216,0.0,0.6
3,0.6313725490196077,0.5770424836601306,16,0.9411764705882352,0.7882352941176471,0.5725490196078432,0.8862745098039216,0.0,0.6
4,0.6313725490196077,0.5907271241830064,16,0.9411764705882352,0.7882352941176471,0.5725490196078432,0.8862745098039216,0.0,0.6
5,0.6313725490196077,0.5962418300653594,16,0.9411764705882352,0.7882352941176471,0.5725490196078432,0.8862745098039216,0.0,0.6
6,0.6529411764705881,0.6068218954248364,16,0.9411764705882353,0.7921568627450981,0.5333333333333334,0.8509803921568627,0.0,0.8
7,0.6529411764705881,0.620424836601307,16,0.9411764705882353,0.7921568627450981,0.5333333333333334,0.8509803921568627,0.0,0.8
8,0.6607843137254903,0.6255310457516338,16,0.9607843137254901,0.7529411764705882,0.5725490196078431,0.8784313725490195,0.0,0.8
9,0.6764705882352942,0.6266339869281043,16,0.9411764705882353,0.847058823529412,0.615686274509804,0.8549019607843137,0.0,0.8
10,0.6764705882352942,0.6322303921568625,16,0.9411764705882353,0.847058823529412,0.615686274509804,0.8549019607843137,0.0,0.8
11,0.6764705882352942,0.6396650326797384,16,0.9411764705882353,0.847058823529412,0.615686274509804,0.8549019607843137,0.0,0.8
12,0.7124183006535947,0.6602941176470588,16,0.7058823529411764,0.6196078431372549,0.5843137254901961,0.36470588235294116,1.0,1.0
13,0.7124183006535947,0.6670343137254902,16,0.7058823529411764,0.6196078431372549,0.5843137254901961,0.36470588235294116,1.0,1.0
14,0.7320261437908497,0.6815767973856209,16,0.7294117647058824,0.6784313725490196,0.6392156862745099,0.34509803921568627,1.0,1.0
15,0.7320261437908497,0.6858251633986928,16,0.7294117647058824,0.6784313725490196,0.6392156862745099,0.34509803921568627,1.0,1.0
16,0.7320261437908497,0.6888888888888889,16,0.7294117647058824,0.6784313725490196,0.6392156862745099,0.34509803921568627,1.0,1.0
17,0.7320261437908497,0.6935049019607843,16,0.7294117647058824,0.6784313725490196,0.6392156862745099,0.34509803921568627,1.0,1.0
18,0.7320261437908497,0.6971405228758168,16,0.7294117647058824,0.6784313725490196,0.6392156862745099,0.34509803921568627,1.0,1.0
19,0.742483660130719,0.7089460784313725,16,0.7607843137254902,0.611764705882353,0.6862745098039216,0.39607843137254906,1.0,1.0
20,0.7490196078431373,0.7134803921568627,16,0.7803921568627451,0.6627450980392158,0.7019607843137255,0.34901960784313724,1.0,1.0
21,0.7490196078431373,0.7167483660130718,16,0.7803921568627451,0.6627450980392158,0.7019607843137255,0.34901960784313724,1.0,1.0
22,0.7490196078431373,0.7167483660130718,16,0.7803921568627451,0.6627450980392158,0.7019607843137255,0.34901960784313724,1.0,1.0
23,0.7529411764705882,0.7169117647058822,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
24,0.7529411764705882,0.725285947712418,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
25,0.7529411764705882,0.7283905228758167,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
26,0.7529411764705882,0.7299836601307188,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
27,0.7529411764705882,0.731658496732026,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
28,0.7529411764705882,0.7344362745098038,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
29,0.7529411764705882,0.7352124183006534,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
30,0.7529411764705882,0.7352124183006534,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
31,0.7529411764705882,0.7371323529411763,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
32,0.7529411764705882,0.7379084967320259,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
33,0.7529411764705882,0.7379084967320259,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
34,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
35,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
36,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
37,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
38,0.7529411764705882,0.7388480392156863,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
39,0.7529411764705882,0.7402777777777778,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
40,0.7529411764705882,0.7404411764705883,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
41,0.7529411764705882,0.7404411764705883,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
42,0.7529411764705882,0.7404411764705883,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
43,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
44,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
45,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
46,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
47,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
48,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
49,0.7529411764705882,0.7407271241830066,16,0.7686274509803922,0.6666666666666666,0.6862745098039216,0.39607843137254906,1.0,1.0
